Delivery person ID,Age group(Delivery person),Delivery person rating,Rseturant latitude,Resturant longitude,Delivery location latitude,Delivery location longitude,Type of order,Type of vechicle,Temperature,Humidity,Precipitation,Weather description,Traffic level,Distance(km),Target(mins)
PUNERES18DEL01,15-20,4.7,18.593481,73.785901,18.633481,73.825901,Snack ,scooter ,18.93,64,0,clear sky,Low,2.23,23.13333333
SURRES08DEL01,15-20,4.8,21.173343,72.792731,21.183343,72.802731,Meal ,scooter ,23.6,44,0,clear sky,Very Low,5.75,7.516666667
HYDRES17DEL02,31-40,5,17.451976,78.385883,17.471976,78.405883,Snack ,scooter ,21.28,65,0,broken clouds,Low,4.17,22.03333333
BANGRES17DEL02,21-30,4.9,12.972532,77.608179,12.992532,77.628179,Buffet ,scooter ,20.04,91,0,mist,Low,12.08,24.13333333
BANGRES17DEL01,21-30,4.8,12.972532,77.608179,13.042532,77.678179,Snack ,motorcycle ,19.7,93,0,mist,High,15.31,47.28333333
CHENRES11DEL01,31-40,4.3,13.064181,80.236442,13.134181,80.306442,Snack ,motorcycle ,26.4,88,0,scattered clouds,Very High,19.19,73.45
MUMRES17DEL02,21-30,4.6,19.121999,72.908493,19.201999,72.988493,Drinks ,scooter ,24.42,49,0,clear sky,High,20.14,46.25
SURRES17DEL03,31-40,4.7,21.149569,72.772697,21.239569,72.862697,Snack ,motorcycle ,22.97,43,0,clear sky,Very High,31.21,51.85
MUMRES07DEL01,21-30,4.6,19.091458,72.827808,19.201458,72.937808,Snack ,scooter ,23.99,49,0,clear sky,Very High,5.32,74.86666667
KOLRES16DEL02,31-40,4.9,22.539129,88.365507,22.559129,88.385507,Snack ,scooter ,22.99,83,0,haze,Low,13.2,24.86666667
MUMRES02DEL03,21-30,4.9,19.221315,72.862381,19.281315,72.922381,Drinks ,electric_scooter ,24.96,48,0,clear sky,High,11.37,40.61666667
BANGRES05DEL03,21-30,4.9,12.970324,77.645748,13.030324,77.705748,Drinks ,scooter ,19.84,93,0,mist,High,8.68,44.18333333
CHENRES11DEL01,31-40,4.8,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,26.14,88,0,mist,High,1.82,46.45
SURRES09DEL01,31-40,5,21.175975,72.795503,21.185975,72.805503,Snack ,scooter ,23.61,44,0,clear sky,Very Low,8.81,9.85
RANCHIRES15DEL01,31-40,4.9,23.369746,85.33982,23.409746,85.37982,Snack ,motorcycle ,17.72,68,0,clear sky,Moderate,26.36,32.61666667
BANGRES19DEL01,31-40,4.8,12.914264,77.6784,13.024264,77.7884,Drinks ,scooter ,19.91,93,0,mist,Very High,0,80.75
COIMBRES14DEL02,21-30,4.8,11.003681,76.975525,11.083681,77.055525,Drinks ,motorcycle ,23.97,78,0,mist,High,11.3,50.35
SURRES08DEL03,31-40,4.7,21.173343,72.792731,21.233343,72.852731,Snack ,motorcycle ,23.01,43,0,clear sky,Moderate,19.07,31.71666667
COIMBRES07DEL03,21-30,4.7,10.96185,76.971082,11.05185,77.061082,Buffet ,motorcycle ,24.04,78,0,mist,High,18.94,49.71666667
AGRRES12DEL03,31-40,4.6,27.165108,78.015053,27.255108,78.105053,Snack ,motorcycle ,21.69,52,0,clear sky,Very High,0,52.25
JAPRES14DEL01,31-40,4.5,26.88842,75.800689,26.89842,75.810689,Buffet ,scooter ,19.63,64,0,haze,Very Low,0,11.86666667
JAPRES18DEL02,21-30,4.8,26.913987,75.752891,26.993987,75.832891,Drinks ,scooter ,18.74,64,0,haze,Very High,6.08,65.18333333
MYSRES04DEL03,31-40,4.9,12.3085,76.665808,12.3385,76.695808,Drinks ,scooter ,18.17,81,0,broken clouds,Low,14.97,27.55
SURRES12DEL01,21-30,4.4,21.183434,72.814492,21.253434,72.884492,Drinks ,scooter ,22.83,42,0,clear sky,High,35.56,42.3
MUMRES04DEL01,31-40,5,19.254567,72.848923,19.364567,72.958923,Buffet ,motorcycle ,22.86,49,0,clear sky,Very High,8.72,85.83333333
PUNERES02DEL01,31-40,4.9,18.55144,73.804855,18.59144,73.844855,Drinks ,scooter ,19.2,65,0,clear sky,Moderate,4.76,35.33333333
ALHRES07DEL02,21-30,4.8,25.449659,81.839744,25.469659,81.859744,Meal ,electric_scooter ,22.2,54,0,clear sky,Low,14.69,15.51666667
DEHRES19DEL02,31-40,4.9,30.372202,78.077151,30.422202,78.127151,Meal ,motorcycle ,13.45,78,0,clear sky,Very High,0,51.23333333
SURRES11DEL01,21-30,4.7,21.157735,72.768778,21.197735,72.808778,Buffet ,scooter ,23.45,43,0,clear sky,Low,7,19.65
SURRES01DEL01,31-40,4.6,21.186438,72.794115,21.226438,72.834115,Meal ,scooter ,23.1,43,0,clear sky,Low,0,17.36666667
BANGRES13DEL01,21-30,4.6,12.935662,77.61413,12.975662,77.65413,Drinks ,scooter ,20.21,91,0,mist,High,15.46,45.48333333
HYDRES13DEL03,21-30,4.7,17.431477,78.40035,17.491477,78.46035,Buffet ,motorcycle ,21.4,64,0,broken clouds,High,0,45.58333333
CHENRES11DEL03,31-40,4.1,13.064181,80.236442,13.154181,80.326442,Buffet ,motorcycle ,26.39,87,0,scattered clouds,Very High,17.63,78.68333333
BANGRES010DEL03,31-40,4.6,12.933298,77.614293,13.023298,77.704293,Drinks ,scooter ,19.9,93,0,mist,Very High,8.12,69
VADRES20DEL01,31-40,4.7,22.311358,73.164798,22.351358,73.204798,Drinks ,electric_scooter ,19.01,82,0,haze,Low,21.83,25.51666667
BANGRES11DEL01,21-30,4.7,12.934365,77.616155,13.044365,77.726155,Snack ,scooter ,19.74,93,0,mist,Very High,0,68.68333333
CHENRES02DEL01,21-30,4.4,13.086438,80.220672,13.196438,80.330672,Snack ,scooter ,26.36,87,0,scattered clouds,Very High,35.56,65.76666667
MUMRES04DEL01,21-30,4.7,19.254567,72.848923,19.364567,72.958923,Meal ,motorcycle ,22.86,49,0,clear sky,Very High,3.98,83
JAPRES03DEL02,21-30,5,26.913483,75.803139,26.933483,75.823139,Buffet ,motorcycle ,19.7,64,0,haze,Low,12.62,19.43333333
HYDRES04DEL03,21-30,4.6,17.411028,78.329645,17.471028,78.389645,Buffet ,motorcycle ,21.27,65,0,broken clouds,High,9.82,36.36666667
PUNERES14DEL02,31-40,4.8,18.516216,73.842527,18.566216,73.892527,Meal ,motorcycle ,19.23,65,0,clear sky,Moderate,8.48,26.6
GOARES04DEL01,21-30,4.8,15.5696,73.742294,15.6096,73.782294,Snack ,scooter ,24.51,57,0,broken clouds,Moderate,15.46,31.33333333
AURGRES08DEL02,31-40,4.6,19.876428,75.364792,19.956428,75.444792,Buffet ,motorcycle ,16.17,82,0,mist,High,2.41,40.21666667
BANGRES12DEL01,21-30,5,12.939496,77.625999,12.949496,77.635999,Drinks ,motorcycle ,20.3,91,0,mist,Low,24.67,23.15
HYDRES05DEL01,21-30,4.2,17.433809,78.386744,17.543809,78.496744,Meal ,motorcycle ,21.13,64,0,overcast clouds,Very High,3.05,64.9
RANCHIRES17DEL01,31-40,4.6,23.374878,85.335739,23.384878,85.345739,Drinks ,motorcycle ,17.67,68,0,clear sky,Low,0,24.33333333
INDORES12DEL02,31-40,4.9,22.74806,75.8934,22.76806,75.9134,Drinks ,scooter ,17.11,77,0,haze,Low,17.59,23.38333333
JAPRES15DEL03,31-40,4.8,26.891191,75.802083,26.981191,75.892083,Buffet ,electric_scooter ,19.97,68,0,haze,High,24.59,47.91666667
SURRES16DEL01,21-30,5,21.160437,72.774209,21.270437,72.884209,Meal ,motorcycle ,22.88,43,0,clear sky,Very High,13.43,47.96666667
MYSRES16DEL02,21-30,5,12.316967,76.603067,12.366967,76.653067,Drinks ,motorcycle ,18.28,81,0,scattered clouds,High,22.46,48.2
MUMRES05DEL03,31-40,4.7,18.927584,72.832585,19.017584,72.922585,Drinks ,electric_scooter ,26.84,44,0,smoke,Very High,9.16,62.16666667
COIMBRES19DEL02,31-40,4.7,11.022298,76.998349,11.072298,77.048349,Snack ,motorcycle ,25.06,73,0,mist,Moderate,8.86,30.36666667
MYSRES07DEL01,31-40,4.4,12.325461,76.632278,12.365461,76.672278,Meal ,scooter ,18.36,81,0,broken clouds,Moderate,26.41,25.98333333
PUNERES17DEL01,21-30,4.8,18.530963,73.828972,18.640963,73.938972,Snack ,motorcycle ,19.22,65,0,clear sky,Very High,6.78,66.83333333
HYDRES19DEL03,21-30,4.8,17.458998,78.500366,17.488998,78.530366,Snack ,scooter ,21.29,64,0,broken clouds,Low,42.54,24.75
MUMRES14DEL02,21-30,4.8,19.1813,72.836191,19.3113,72.966191,Meal ,motorcycle ,27.05,49,0,clear sky,Very High,2.57,93.41666667
COIMBRES02DEL01,21-30,4.6,11.022477,76.995667,11.032477,77.005667,Snack ,motorcycle ,24.86,73,0,mist,Low,4.04,18.75
INDORES05DEL02,21-30,4.3,22.727021,75.884167,22.747021,75.904167,Meal ,motorcycle ,17.08,77,0,haze,Low,18.4,16.25
BANGRES03DEL03,21-30,4.6,12.979166,77.640709,13.069166,77.730709,Buffet ,motorcycle ,19.22,93,0,fog,High,19.59,46.81666667
MUMRES11DEL01,21-30,4.8,18.994237,72.825553,19.104237,72.935553,Snack ,scooter ,27.03,44,0,smoke,High,29.59,52.81666667
MYSRES12DEL02,21-30,4.3,12.284747,76.625861,12.414747,76.755861,Drinks ,scooter ,18.4,82,0,broken clouds,Very High,4.15,60.56666667
SURRES09DEL02,21-30,4.7,21.175975,72.795503,21.195975,72.815503,Snack ,scooter ,23.39,43,0,clear sky,Very Low,26.96,14.43333333
COIMBRES12DEL02,31-40,4.2,11.000762,76.981876,11.130762,77.111876,Snack ,motorcycle ,25.15,73,0,mist,Very High,21.81,58.5
SURRES08DEL01,21-30,4.6,21.173343,72.792731,21.283343,72.902731,Drinks ,motorcycle ,22.85,43,0,clear sky,High,9.52,52.31666667
KNPRES05DEL02,31-40,4.7,26.479108,80.315042,26.499108,80.335042,Meal ,scooter ,21.81,55,0,clear sky,High,16.35,33.3
SURRES05DEL02,21-30,4.6,21.175104,72.804342,21.255104,72.884342,Snack ,motorcycle ,22.88,43,0,clear sky,High,25.68,40.8
MUMRES15DEL01,31-40,3.8,19.176269,72.836721,19.286269,72.946721,Drinks ,motorcycle ,27.04,48,0,clear sky,Very High,16.6,70.41666667
BANGRES15DEL02,31-40,4.8,12.975377,77.696664,13.025377,77.746664,Snack ,scooter ,19.58,93,0,mist,High,11.34,45.73333333
RANCHIRES11DEL03,31-40,4.8,23.359194,85.325447,23.419194,85.385447,Buffet ,electric_scooter ,17.84,68,0,clear sky,High,3.09,41.43333333
MYSRES08DEL01,15-20,4.8,12.297954,76.665169,12.307954,76.675169,Drinks ,motorcycle ,18.05,81,0,broken clouds,Very Low,15.03,17.66666667
RANCHIRES07DEL02,31-40,4.9,23.359407,85.325055,23.439407,85.405055,Drinks ,motorcycle ,17.58,69,0,clear sky,High,18.92,46.01666667
RANCHIRES01DEL03,15-20,4.9,23.416792,85.316842,23.506792,85.406842,Meal ,motorcycle ,17.41,69,0,clear sky,High,6.14,35.45
JAPRES17DEL03,21-30,4.6,26.892312,75.806896,26.922313,75.836896,Drinks ,motorcycle ,19.58,68,0,haze,Moderate,20.29,35.7
VADRES06DEL01,21-30,4.6,22.31279,73.170283,22.42279,73.280283,Snack ,electric_scooter ,22.47,44,0,clear sky,High,24.35,44.28333333
INDORES14DEL01,31-40,4.2,22.761593,75.886362,22.871593,75.996362,Snack ,scooter ,17.32,53,0,clear sky,High,8.81,49.11666667
COIMBRES17DEL01,31-40,4.8,11.026117,76.944652,11.066117,76.984652,Meal ,scooter ,24.83,73,0,mist,Moderate,8.68,31.21666667
CHENRES11DEL01,31-40,4.9,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,26.14,88,0,mist,High,12.15,46.63333333
KNPRES17DEL02,21-30,4.5,26.483042,80.317833,26.533042,80.367833,Drinks ,scooter ,21.8,55,0,clear sky,Moderate,26.96,38.98333333
COIMBRES12DEL02,21-30,4.9,11.000762,76.981876,11.130762,77.111876,Meal ,scooter ,25.15,73,0,mist,Very High,19.03,54.5
RANCHIRES04DEL01,31-40,4.7,23.359033,85.325347,23.469033,85.435347,Snack ,scooter ,17.88,67,0,clear sky,High,8.33,45.31666667
KOLRES17DEL03,21-30,4.6,22.569358,88.433452,22.599358,88.463452,Drinks ,motorcycle ,23.03,83,0,haze,Moderate,19.35,32.65
BANGRES19DEL02,21-30,4.6,12.914264,77.6784,12.994264,77.7584,Drinks ,motorcycle ,19.74,93,0,mist,Very High,11.14,64.63333333
MUMRES17DEL01,31-40,4.7,19.121999,72.908493,19.161999,72.948493,Snack ,scooter ,27.01,44,0,smoke,Moderate,2.41,39.16666667
SURRES14DEL01,21-30,5,21.157729,72.768726,21.167729,72.778726,Meal ,scooter ,23.91,44,0,clear sky,Very Low,11.07,6.983333333
VADRES14DEL03,31-40,4.6,22.311603,73.165012,22.371603,73.225012,Snack ,motorcycle ,22.74,43,0,clear sky,Moderate,5.3,25.55
PUNERES09DEL02,31-40,4.9,18.536562,73.896485,18.556562,73.916485,Snack ,motorcycle ,19.26,64,0,clear sky,Low,4.38,23.51666667
INDORES19DEL02,21-30,4.7,22.745536,75.893106,22.765536,75.913106,Buffet ,motorcycle ,17.11,77,0,haze,Low,17.63,19.43333333
BANGRES010DEL03,21-30,4.9,12.933298,77.614293,13.023298,77.704293,Drinks ,motorcycle ,19.9,93,0,mist,Very High,11.56,68.98333333
BANGRES12DEL02,21-30,4.8,12.939496,77.625999,12.989496,77.675999,Drinks ,motorcycle ,19.64,92,0,mist,Very High,0,61.65
HYDRES14DEL01,31-40,4.4,17.426228,78.407495,17.436228,78.417495,Snack ,motorcycle ,21.27,65,0,broken clouds,Very Low,17.29,15.28333333
BANGRES11DEL03,15-20,4.6,12.934365,77.616155,13.024365,77.706155,Buffet ,motorcycle ,19.89,93,0,mist,Very High,11.45,60.43333333
COIMBRES13DEL03,31-40,4.3,11.003669,76.976494,11.063669,77.036494,Snack ,motorcycle ,24.96,73,0,mist,Moderate,6.28,33.38333333
PUNERES05DEL03,21-30,4.6,18.543626,73.905101,18.573626,73.935101,Snack ,scooter ,19.23,65,0,clear sky,Low,12.93,22.28333333
VADRES20DEL01,31-40,5,22.311358,73.164798,22.381358,73.234798,Snack ,motorcycle ,22.68,43,0,clear sky,Moderate,25.39,30.25
CHENRES19DEL01,31-40,4.2,12.986047,80.218114,13.096047,80.328114,Meal ,motorcycle ,26.47,87,0,broken clouds,Very High,11.67,97.83333333
HYDRES02DEL03,31-40,4.1,17.41233,78.449654,17.47233,78.509654,Meal ,scooter ,21.32,64,0,broken clouds,Moderate,14.52,30.7
SURRES010DEL02,21-30,4.6,21.17106,72.789292,21.25106,72.869292,Meal ,electric_scooter ,22.9,43,0,clear sky,High,6.71,33.15
SURRES03DEL01,21-30,4.6,21.186884,72.793616,21.226884,72.833616,Snack ,scooter ,23.1,43,0,clear sky,Low,6.76,20.13333333
COIMBRES17DEL03,31-40,4.9,11.026117,76.944652,11.056117,76.974652,Buffet ,motorcycle ,24.82,73,0,mist,Moderate,0,28.55
MUMRES08DEL01,31-40,3.9,19.065838,72.832658,19.135838,72.902658,Buffet ,scooter ,26.77,44,0,smoke,Very High,0,54.18333333
BANGRES04DEL03,21-30,4.4,12.98041,77.640489,13.04041,77.700489,Buffet ,motorcycle ,19.5,93,0,mist,High,21.28,43.21666667
COIMBRES02DEL01,21-30,4.6,11.022477,76.995667,11.132477,77.105667,Snack ,motorcycle ,25.15,73,0,mist,High,0,50.13333333
MYSRES13DEL01,31-40,4.8,12.310972,76.659264,12.350972,76.699264,Snack ,motorcycle ,17.9,77,0,scattered clouds,Moderate,15.95,29.88333333
COIMBRES03DEL02,15-20,4.7,11.025083,77.015393,11.105083,77.095393,Drinks ,motorcycle ,25.02,73,0,mist,High,26.21,45.43333333
MYSRES16DEL02,15-20,5,12.316967,76.603067,12.446967,76.733067,Meal ,motorcycle ,18.12,77,0,scattered clouds,High,12.74,39.33333333
KOLRES04DEL03,21-30,4.3,22.538731,88.364878,22.598731,88.424878,Buffet ,motorcycle ,22.99,83,0,haze,Moderate,24.44,30.98333333
COIMBRES11DEL01,31-40,4.8,11.001753,76.986241,11.111753,77.096241,Drinks ,motorcycle ,25.02,73,0,mist,Very High,18.92,63.98333333
VADRES13DEL03,31-40,4,22.310237,73.158921,22.400237,73.248921,Meal ,motorcycle ,22.48,43,0,clear sky,High,14.99,31.73333333
RANCHIRES04DEL02,21-30,4.8,23.359033,85.325347,23.439033,85.405347,Drinks ,scooter ,17.58,69,0,clear sky,High,15.81,45.43333333
PUNERES18DEL01,31-40,4.4,18.593481,73.785901,18.663481,73.855901,Buffet ,motorcycle ,19.01,65,0,clear sky,High,8.39,37.75
SURRES01DEL02,31-40,4.9,21.186438,72.794115,21.236438,72.844115,Buffet ,motorcycle ,22.99,43,0,clear sky,Low,13.69,22.18333333
INDORES08DEL02,21-30,4.9,22.725748,75.898497,22.775748,75.948497,Snack ,scooter ,17.08,72,0,haze,High,0,36.3
HYDRES18DEL03,31-40,4.8,17.450851,78.379347,17.540851,78.469347,Meal ,motorcycle ,21.25,66,0,broken clouds,Very High,22.01,53.95
CHENRES07DEL03,31-40,4.5,13.081878,80.248519,13.171878,80.338519,Drinks ,electric_scooter ,26.38,87,0,scattered clouds,Very High,15.77,81.11666667
KOCRES010DEL01,31-40,4.7,10.035573,76.336958,10.105573,76.406958,Snack ,motorcycle ,23.9,88,0,mist,High,16.42,44.81666667
VADRES11DEL02,31-40,4.3,22.308096,73.167753,22.388096,73.247753,Drinks ,motorcycle ,22.63,43,0,clear sky,High,2.08,40.93333333
CHENRES20DEL01,31-40,4.5,12.975996,80.221898,12.985996,80.231898,Drinks ,scooter ,26.24,88,0,mist,Very Low,6.08,21.9
MYSRES04DEL03,31-40,4.7,12.3085,76.665808,12.3385,76.695808,Buffet ,scooter ,18.17,81,0,broken clouds,Low,2.71,20.55
MUMRES13DEL01,31-40,5,19.178321,72.834715,19.188321,72.844715,Meal ,motorcycle ,26.95,44,0,smoke,Low,0,18.58333333
JAPRES08DEL02,31-40,4.5,26.910262,75.783013,26.990262,75.863013,Snack ,scooter ,19.8,68,0,haze,Very High,16.02,51.86666667
ALHRES12DEL01,31-40,4.7,25.443994,81.860187,25.513994,81.930187,Meal ,motorcycle ,22.03,55,0,clear sky,High,18.5,34.88333333
RANCHIRES11DEL03,31-40,4.6,23.359194,85.325447,23.449194,85.415447,Snack ,motorcycle ,17.54,69,0,clear sky,High,10.7,40.68333333
HYDRES19DEL02,21-30,4.9,17.458998,78.500366,17.508998,78.550366,Meal ,scooter ,21.29,64,0,broken clouds,High,11.91,32.2
PUNERES17DEL03,21-30,4.8,18.530963,73.828972,18.590963,73.888972,Buffet ,scooter ,18.98,64,0,clear sky,Moderate,8.87,32
MYSRES010DEL01,31-40,4.7,12.321214,76.621094,12.361214,76.661094,Buffet ,motorcycle ,18.34,81,0,broken clouds,Low,12.55,22.9
JAPRES03DEL01,21-30,4.6,26.913483,75.803139,26.983483,75.873139,Drinks ,motorcycle ,19.83,68,0,haze,High,11.18,42.81666667
MYSRES04DEL03,31-40,4.6,12.3085,76.665808,12.3685,76.725808,Meal ,motorcycle ,18.08,78,0,scattered clouds,Moderate,11.65,28.21666667
MUMRES06DEL03,21-30,4.8,19.055831,72.833984,19.115831,72.893984,Snack ,motorcycle ,26.83,44,0,smoke,High,14.28,51.58333333
MYSRES18DEL01,31-40,4.9,12.337928,76.617889,12.407928,76.687889,Drinks ,motorcycle ,18.42,82,0,scattered clouds,Moderate,12.97,34.13333333
RANCHIRES18DEL01,31-40,4.7,23.351489,85.324253,23.421489,85.394253,Buffet ,motorcycle ,17.84,68,0,clear sky,High,16.78,47.16666667
INDORES06DEL02,31-40,3.9,22.728163,75.884212,22.808163,75.964212,Meal ,motorcycle ,17.19,72,0,haze,High,4.84,34.9
CHENRES15DEL03,31-40,4.7,13.026286,80.275235,13.056286,80.305235,Drinks ,motorcycle ,26.52,87,0,mist,Low,3.82,29.16666667
JAPRES07DEL02,21-30,4.7,26.766536,75.837333,26.786536,75.857333,Snack ,motorcycle ,20.2,68,0,haze,Very Low,5.83,15.43333333
SURRES18DEL03,21-30,4.6,21.149834,72.778666,21.179834,72.808666,Snack ,scooter ,23.57,44,0,clear sky,Low,19.64,18.63333333
MYSRES04DEL03,31-40,4.3,12.3085,76.665808,12.3985,76.755808,Meal ,motorcycle ,18.43,82,0,broken clouds,High,14.03,40.68333333
SURRES19DEL01,31-40,4.9,21.149669,72.772629,21.219669,72.842629,Buffet ,motorcycle ,23.05,43,0,clear sky,High,7.93,33.5
HYDRES04DEL01,21-30,4,17.411028,78.329645,17.451028,78.369645,Buffet ,motorcycle ,21.05,68,0,broken clouds,Moderate,18.1,30.11666667
KNPRES16DEL03,21-30,4.1,26.482581,80.315628,26.572581,80.405628,Meal ,motorcycle ,21.74,56,0,clear sky,High,14.53,44.13333333
MYSRES12DEL03,31-40,4.9,12.284747,76.625861,12.344747,76.685861,Drinks ,motorcycle ,18.22,81,0,broken clouds,High,3.02,42.66666667
JAPRES09DEL01,21-30,4.7,26.911378,75.789034,26.921378,75.799034,Meal ,motorcycle ,19.61,68,0,haze,Low,15.39,14.93333333
CHENRES04DEL02,31-40,4.7,13.02978,80.208812,13.10978,80.288812,Meal ,electric_scooter ,26.36,88,0,mist,Very High,9.21,63.33333333
MYSRES09DEL01,15-20,4.5,12.323194,76.630583,12.363194,76.670583,Meal ,motorcycle ,18.32,81,0,broken clouds,Moderate,21.48,25.56666667
PUNERES19DEL03,21-30,4.6,18.563934,73.915367,18.653934,74.005367,Snack ,motorcycle ,19.37,65,0,clear sky,High,15.08,43.23333333
KOLRES18DEL03,31-40,5,22.569367,88.433187,22.629367,88.493187,Buffet ,motorcycle ,22.98,83,0,haze,High,13.71,40.91666667
BANGRES14DEL03,21-30,4.8,12.949934,77.699386,13.009934,77.759386,Snack ,motorcycle ,19.73,93,0,mist,High,15.2,47.9
SURRES09DEL02,21-30,5,21.175975,72.795503,21.255975,72.875503,Snack ,scooter ,22.88,43,0,clear sky,High,22.02,38.76666667
